index,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Poverty,BOROCT2010,location,Provider,ct2010,borough,number of public wifi
36005040900,3048.0,1523.0,1525.0,0.1702,0.1109,0.6606000000000001,0.0,0.0202,0.17010000000000003,2040900.0,['3874 SEDGWICK AVENUE'],['NYPL'],409,['Bronx'],1
36005041300,7561.0,3640.0,3921.0,0.6901,0.1207,0.0708,0.0,0.0701,0.2109,2041300.0,['Bedford Park Blvd - Grand Concourse'],['Transit Wireless'],413,['Bronx'],1
36005042000,3516.0,1627.0,1889.0,0.3608,0.0305,0.5304,0.0,0.04019999999999999,0.2502,2042000.0,['4100 LOWERRE PLACE'],['NYPL'],420,['Bronx'],1
36005042300,4485.0,1958.0,2527.0,0.6104999999999999,0.1404,0.1003,0.0,0.1201,0.3605,2042300.0,['RESERVOIR OVAL E  2/P/S/O RESERVOIR PL'],['ALTICEUSA'],423,['Bronx'],11
36005042600,6694.0,2760.0,3934.0,0.0707,0.0405,0.8306,0.0,0.030899999999999997,0.1606,2042600.0,['C/O  E 233RD ST  & WILDER AV'],['ALTICEUSA'],426,['Bronx'],2
36005043500,52.0,18.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,2043500.0,['Parade grounds-N/O /Tortoise & Hare statue'],['ALTICEUSA'],435,['Bronx'],2
36005044902,2031.0,1047.0,984.0,0.1105,0.8708,0.0004,0.0,0.0003,0.0805,2044902.0,['4355 KATONAH AVENUE'],['NYPL'],44902,['Bronx'],1
36005046201,28926.0,13460.0,15466.0,0.3109,0.09050000000000001,0.5600999999999999,0.0001,0.0101,0.060899999999999996,2046201.0,['2049 ASCH LOOP NORTH'],['NYPL'],46201,['Bronx'],1
36005048400,4377.0,2234.0,2143.0,0.1707,0.04,0.7601,0.0,0.0003,0.0605,2048400.0,['SETON AV 5/P/S/O E 233RD ST'],['ALTICEUSA'],484,['Bronx'],3
36005051600,4439.0,1916.0,2523.0,0.2509,0.6801999999999999,0.0005,0.0,0.0407,0.04,2051600.0,['320 CITY ISLAND AVENUE'],['NYPL'],516,['Bronx'],1
36047000100,4304.0,2196.0,2108.0,0.0908,0.7004,0.1005,0.0,0.0508,0.1502,3000100.0,['Near Vine St and Columbia Heights'],['AT&T'],1,['Brooklyn'],3
36047000301,3985.0,2075.0,1910.0,0.09029999999999999,0.7705,0.030699999999999998,0.0,0.04019999999999999,0.1802,3000301.0,['Along Promenade'],['SPECTRUM'],301,['Brooklyn'],6
